tactic_id,database_order,guide_heading_number,source_order,tactic_name,tactic_category,best_for,avoid_for,core_strategy,visual_transformation,required_user_inputs,optional_user_inputs,standalone_json_prompt,customer_facing_prompt,negative_prompt,productpinion_test_hypothesis,what_to_measure,expected_ctr_impact,difficulty,internal_notes,source_url
MI-028,28,27,28,Arrow It,Motion explanation,"rotating, twisting, adjustable, 360-degree, moving products",static products,Make invisible movement visible.,Add curved or directional arrows around the moving component to show rotation or movement path.,movement_type,arrow_color; arrow_path,"{""task"":""edit_product_main_image"",""tactic"":""Arrow It"",""input_image"":""{{customer_product_image}}"",""objective"":""Make invisible movement visible."",""required_user_inputs"":[""movement_type""],""optional_user_inputs"":[""arrow_color"",""arrow_path""],""edit_instructions"":{""primary_visual_change"":""Add curved or directional arrows around the moving component to show rotation or movement path."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""arrows that imply impossible motion"",""clutter"",""hiding mechanism""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Arrow It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Make invisible movement visible."",
  ""required_user_inputs"": [
    ""movement_type""
  ],
  ""optional_user_inputs"": [
    ""arrow_color"",
    ""arrow_path""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add curved or directional arrows around the moving component to show rotation or movement path."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""arrows that imply impossible motion"",
    ""clutter"",
    ""hiding mechanism""
  ]
}",arrows that imply impossible motion; clutter; hiding mechanism,Motion arrows will improve functional comprehension and click preference.,"CTR preference, feature clarity, use understanding",High,Low,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-029,29,28,29,Breeze It,Invisible force visualization,"fans, air purifiers, vents, cooling/heating products",products where airflow is not a benefit,Make airflow visible as a benefit.,"Render soft colored air/wind streams showing direction, width, and strength of the breeze.",airflow_direction,airflow_color; intensity,"{""task"":""edit_product_main_image"",""tactic"":""Breeze It"",""input_image"":""{{customer_product_image}}"",""objective"":""Make airflow visible as a benefit."",""required_user_inputs"":[""airflow_direction""],""optional_user_inputs"":[""airflow_color"",""intensity""],""edit_instructions"":{""primary_visual_change"":""Render soft colored air/wind streams showing direction, width, and strength of the breeze."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""smoke-like pollution"",""unrealistic blast"",""product obstruction""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Breeze It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Make airflow visible as a benefit."",
  ""required_user_inputs"": [
    ""airflow_direction""
  ],
  ""optional_user_inputs"": [
    ""airflow_color"",
    ""intensity""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Render soft colored air/wind streams showing direction, width, and strength of the breeze."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""smoke-like pollution"",
    ""unrealistic blast"",
    ""product obstruction""
  ]
}",smoke-like pollution; unrealistic blast; product obstruction,Visible airflow will improve benefit comprehension for air-moving products.,"CTR preference, airflow clarity, perceived power",High,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-030,30,29,30,Waterproof It,Proof of resistance,"waterproof speakers, bags, covers, outdoor gear",products not designed for water exposure,Make waterproofing instantly understandable.,"Add realistic water droplets, splashes, or wet surface interaction on/around the product.",waterproof_feature,splash_intensity; water_location,"{""task"":""edit_product_main_image"",""tactic"":""Waterproof It"",""input_image"":""{{customer_product_image}}"",""objective"":""Make waterproofing instantly understandable."",""required_user_inputs"":[""waterproof_feature""],""optional_user_inputs"":[""splash_intensity"",""water_location""],""edit_instructions"":{""primary_visual_change"":""Add realistic water droplets, splashes, or wet surface interaction on/around the product."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""water damage implication"",""label hidden"",""unsafe use context""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Waterproof It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Make waterproofing instantly understandable."",
  ""required_user_inputs"": [
    ""waterproof_feature""
  ],
  ""optional_user_inputs"": [
    ""splash_intensity"",
    ""water_location""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add realistic water droplets, splashes, or wet surface interaction on/around the product."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""water damage implication"",
    ""label hidden"",
    ""unsafe use context""
  ]
}",water damage implication; label hidden; unsafe use context,Water interaction will improve waterproof benefit recognition and preference.,"CTR preference, waterproof recall, confidence",High,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-031,31,30,31,Demo It,Action proof,"waterproof, spill-proof, stain-proof, installable, functional products",products where demonstration could misstate performance,"Show the benefit happening, not just claimed.","Create a clear action demonstration, such as liquid being poured onto the protected surface.",demo_action,demonstrator_hand; liquid_or_object,"{""task"":""edit_product_main_image"",""tactic"":""Demo It"",""input_image"":""{{customer_product_image}}"",""objective"":""Show the benefit happening, not just claimed."",""required_user_inputs"":[""demo_action""],""optional_user_inputs"":[""demonstrator_hand"",""liquid_or_object""],""edit_instructions"":{""primary_visual_change"":""Create a clear action demonstration, such as liquid being poured onto the protected surface."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""unsafe demo"",""exaggerated performance"",""clutter""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Demo It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Show the benefit happening, not just claimed."",
  ""required_user_inputs"": [
    ""demo_action""
  ],
  ""optional_user_inputs"": [
    ""demonstrator_hand"",
    ""liquid_or_object""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Create a clear action demonstration, such as liquid being poured onto the protected surface."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""unsafe demo"",
    ""exaggerated performance"",
    ""clutter""
  ]
}",unsafe demo; exaggerated performance; clutter,An action demo will improve understanding of the product benefit and click preference.,"CTR preference, benefit clarity, believability",High,High,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-032,32,31,32,Wrap It,Bundle grouping,"multi-pack sets, cutting boards, towels, grouped variants",single products or giftable products where wrap changes perceived packaging,Visually bind a set together and clarify quantity/options.,Add a clean wrap or band around multiple items to group them into one offer.,pack_quantity,wrap_message; colors_or_variants,"{""task"":""edit_product_main_image"",""tactic"":""Wrap It"",""input_image"":""{{customer_product_image}}"",""objective"":""Visually bind a set together and clarify quantity/options."",""required_user_inputs"":[""pack_quantity""],""optional_user_inputs"":[""wrap_message"",""colors_or_variants""],""edit_instructions"":{""primary_visual_change"":""Add a clean wrap or band around multiple items to group them into one offer."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""misleading packaging expectation"",""covering important details""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Wrap It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Visually bind a set together and clarify quantity/options."",
  ""required_user_inputs"": [
    ""pack_quantity""
  ],
  ""optional_user_inputs"": [
    ""wrap_message"",
    ""colors_or_variants""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add a clean wrap or band around multiple items to group them into one offer."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""misleading packaging expectation"",
    ""covering important details""
  ]
}",misleading packaging expectation; covering important details,A grouping wrap will increase quantity clarity and perceived set value.,"CTR preference, quantity clarity, perceived value",High,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-033,33,32,33,Feature It,Third-party proof,"award-winning, press-featured, certified, endorsed products",products without real feature/award proof,Use credible recognition as a de-commoditizing cue.,"Add a tasteful featured-in, award, or recognition badge on packaging or beside the product.",feature_or_award_claim,logo_or_badge_style; placement,"{""task"":""edit_product_main_image"",""tactic"":""Feature It"",""input_image"":""{{customer_product_image}}"",""objective"":""Use credible recognition as a de-commoditizing cue."",""required_user_inputs"":[""feature_or_award_claim""],""optional_user_inputs"":[""logo_or_badge_style"",""placement""],""edit_instructions"":{""primary_visual_change"":""Add a tasteful featured-in, award, or recognition badge on packaging or beside the product."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""unsupported award"",""fake media logo"",""clutter""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Feature It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Use credible recognition as a de-commoditizing cue."",
  ""required_user_inputs"": [
    ""feature_or_award_claim""
  ],
  ""optional_user_inputs"": [
    ""logo_or_badge_style"",
    ""placement""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add a tasteful featured-in, award, or recognition badge on packaging or beside the product."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""unsupported award"",
    ""fake media logo"",
    ""clutter""
  ]
}",unsupported award; fake media logo; clutter,A credible feature badge will increase trust and preference in commoditized categories.,"CTR preference, trust, social proof recall",Medium,Low,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-034,34,33,34,Accessorize It,Completeness display,"products with attachments, accessories, configurations",products where accessories are optional or not included,Win on transparency by showing everything included.,"Arrange accessories and attachments around the main product in a tidy, countable layout.",accessory_list,layout_style; hero_product_position,"{""task"":""edit_product_main_image"",""tactic"":""Accessorize It"",""input_image"":""{{customer_product_image}}"",""objective"":""Win on transparency by showing everything included."",""required_user_inputs"":[""accessory_list""],""optional_user_inputs"":[""layout_style"",""hero_product_position""],""edit_instructions"":{""primary_visual_change"":""Arrange accessories and attachments around the main product in a tidy, countable layout."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""showing non-included items"",""chaotic layout"",""duplicate confusion""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Accessorize It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Win on transparency by showing everything included."",
  ""required_user_inputs"": [
    ""accessory_list""
  ],
  ""optional_user_inputs"": [
    ""layout_style"",
    ""hero_product_position""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Arrange accessories and attachments around the main product in a tidy, countable layout."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""showing non-included items"",
    ""chaotic layout"",
    ""duplicate confusion""
  ]
}",showing non-included items; chaotic layout; duplicate confusion,Showing accessories will increase perceived value and reduce uncertainty.,"CTR preference, completeness clarity, perceived value",High,High,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-035,35,34,35,Screen Real Estate It,Screen as billboard,"TVs, monitors, tablets, devices with displays",products without a screen or where display content must be accurate,Use the screen itself to communicate value props.,"Replace the screen content with concise value callouts, awards, sizes, or feature proof.",screen_messages,visual_background; typography_style,"{""task"":""edit_product_main_image"",""tactic"":""Screen Real Estate It"",""input_image"":""{{customer_product_image}}"",""objective"":""Use the screen itself to communicate value props."",""required_user_inputs"":[""screen_messages""],""optional_user_inputs"":[""visual_background"",""typography_style""],""edit_instructions"":{""primary_visual_change"":""Replace the screen content with concise value callouts, awards, sizes, or feature proof."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""too much text"",""fake UI claims"",""unreadable screen""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Screen Real Estate It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Use the screen itself to communicate value props."",
  ""required_user_inputs"": [
    ""screen_messages""
  ],
  ""optional_user_inputs"": [
    ""visual_background"",
    ""typography_style""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Replace the screen content with concise value callouts, awards, sizes, or feature proof."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""too much text"",
    ""fake UI claims"",
    ""unreadable screen""
  ]
}",too much text; fake UI claims; unreadable screen,Using the screen for value props will improve benefit comprehension while keeping the product clean.,"CTR preference, message recall, perceived feature depth",High,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-036,36,35,36,Run Off Label It,Label readability expansion,"bottles, supplements, labels that wrap around curved packaging",flat packages or products where label expansion would confuse quantity,Reveal label information that normally disappears around the curve.,Extend the label visually off the bottle in a straight readable panel connected to the original label.,label_information_to_reveal,extension_direction; label_style,"{""task"":""edit_product_main_image"",""tactic"":""Run Off Label It"",""input_image"":""{{customer_product_image}}"",""objective"":""Reveal label information that normally disappears around the curve."",""required_user_inputs"":[""label_information_to_reveal""],""optional_user_inputs"":[""extension_direction"",""label_style""],""edit_instructions"":{""primary_visual_change"":""Extend the label visually off the bottle in a straight readable panel connected to the original label."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""floating disconnected label"",""unreadable copy"",""implying extra item""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Run Off Label It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Reveal label information that normally disappears around the curve."",
  ""required_user_inputs"": [
    ""label_information_to_reveal""
  ],
  ""optional_user_inputs"": [
    ""extension_direction"",
    ""label_style""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Extend the label visually off the bottle in a straight readable panel connected to the original label."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""floating disconnected label"",
    ""unreadable copy"",
    ""implying extra item""
  ]
}",floating disconnected label; unreadable copy; implying extra item,A run-off label will increase information readability and visual differentiation.,"CTR preference, information clarity, standout",Medium,High,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-037,37,36,37,Background It,Subtle visual pop,"items without packaging, simple silhouettes, plain products",categories where background would distract from product form,Add subtle color/shape around the product to create separation from white SERP space.,Create a slight integrated background shape or side color that feels connected to the product.,background_color_or_style,side_or_shape; intensity,"{""task"":""edit_product_main_image"",""tactic"":""Background It"",""input_image"":""{{customer_product_image}}"",""objective"":""Add subtle color/shape around the product to create separation from white SERP space."",""required_user_inputs"":[""background_color_or_style""],""optional_user_inputs"":[""side_or_shape"",""intensity""],""edit_instructions"":{""primary_visual_change"":""Create a slight integrated background shape or side color that feels connected to the product."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""independent full background scene"",""overwhelming color"",""product hidden""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Background It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Add subtle color/shape around the product to create separation from white SERP space."",
  ""required_user_inputs"": [
    ""background_color_or_style""
  ],
  ""optional_user_inputs"": [
    ""side_or_shape"",
    ""intensity""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Create a slight integrated background shape or side color that feels connected to the product."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""independent full background scene"",
    ""overwhelming color"",
    ""product hidden""
  ]
}",independent full background scene; overwhelming color; product hidden,A subtle connected background cue will increase visual pop and click preference.,Medium,"visual standout, CTR preference, perceived polish",Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
